started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 08:41:33.507000+00:00,2021-08-01 08:48:20.741000+00:00,407,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-01 08:41:40.973000+00:00,2021-08-01 09:06:36.858000+00:00,1495,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543,1093,Belford Road,Outside Scottish National Gallery of Modern Art,55.95197357717703,-3.226124804664096
2021-08-01 08:44:49.667000+00:00,2021-08-01 08:59:35.569000+00:00,885,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-08-01 08:48:44.901000+00:00,2021-08-01 09:06:34.056000+00:00,1069,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
2021-08-01 08:49:02.456000+00:00,2021-08-01 09:05:22.062000+00:00,979,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-01 08:49:08.601000+00:00,2021-08-01 09:05:16.642000+00:00,968,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-01 08:53:46.813000+00:00,2021-08-01 09:04:42.099000+00:00,655,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-08-01 08:57:07.054000+00:00,2021-08-01 13:29:16.302000+00:00,16329,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-01 08:57:38.139000+00:00,2021-08-01 09:07:03.425000+00:00,565,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
2021-08-01 08:58:40.936000+00:00,2021-08-01 09:07:56.517000+00:00,555,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2021-08-01 09:16:15.319000+00:00,2021-08-01 09:49:32.780000+00:00,1997,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 09:16:19.524000+00:00,2021-08-01 09:49:38.985000+00:00,1999,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 09:18:04.076000+00:00,2021-08-01 09:27:26.186000+00:00,562,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
2021-08-01 09:21:21.336000+00:00,2021-08-01 09:54:47.492000+00:00,2006,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
