started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-06 18:01:47.012000+00:00,2021-08-06 18:14:42.458000+00:00,775,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-08-06 18:07:08.380000+00:00,2021-08-06 19:02:42.270000+00:00,3333,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-08-06 18:11:27.998000+00:00,2021-08-06 18:23:30.790000+00:00,722,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368
2021-08-06 18:13:29.511000+00:00,2021-08-06 18:32:03.842000+00:00,1114,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-08-06 18:13:47.317000+00:00,2021-08-06 18:36:36.113000+00:00,1368,1753,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761
2021-08-06 18:15:42.281000+00:00,2021-08-06 18:32:23.380000+00:00,1001,1093,Belford Road,Outside Scottish National Gallery of Modern Art,55.95197357717703,-3.226124804664096,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593
2021-08-06 18:17:02.205000+00:00,2021-08-06 18:48:32.311000+00:00,1890,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-08-06 18:17:26.624000+00:00,2021-08-06 18:46:44.572000+00:00,1757,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-08-06 18:20:32.474000+00:00,2021-08-06 18:52:10.589000+00:00,1898,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095965,1819,Heriot Watt - Edinburgh Business School,Outside Edinburgh Business School,55.9088228790413,-3.320113285176247
2021-08-06 18:23:47.937000+00:00,2021-08-06 18:50:06.068000+00:00,1578,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095965
2021-08-06 18:26:32.042000+00:00,2021-08-06 19:32:52.036000+00:00,3979,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1813,Milton Road - Edinburgh College,Milton Road Campus,55.94406627599551,-3.0985614794416128
2021-08-06 18:37:02.041000+00:00,2021-08-06 18:45:08.400000+00:00,486,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-08-06 18:39:31.732000+00:00,2021-08-06 19:42:06.828000+00:00,3755,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-06 18:43:02.620000+00:00,2021-08-06 19:42:33.724000+00:00,3571,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-06 18:47:35.044000+00:00,2021-08-06 19:43:27.835000+00:00,3352,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 18:47:56.007000+00:00,2021-08-06 18:54:09.048000+00:00,373,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
2021-08-06 18:49:36.220000+00:00,2021-08-06 19:04:03.955000+00:00,867,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-08-06 18:50:25.179000+00:00,2021-08-06 18:59:25.831000+00:00,540,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-08-06 18:56:57.061000+00:00,2021-08-06 19:11:00.033000+00:00,842,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-08-06 19:00:40.403000+00:00,2021-08-06 19:14:38.354000+00:00,837,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-08-06 19:02:29.797000+00:00,2021-08-06 19:08:34.207000+00:00,364,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-06 19:03:03.729000+00:00,2021-08-06 20:01:34.717000+00:00,3510,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467
2021-08-06 19:05:21.200000+00:00,2021-08-06 19:11:12.803000+00:00,351,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-08-06 19:08:50.675000+00:00,2021-08-06 20:03:26.871000+00:00,3276,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-06 19:16:54.267000+00:00,2021-08-06 19:49:42.796000+00:00,1968,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2021-08-06 19:29:10.195000+00:00,2021-08-06 19:41:55.844000+00:00,765,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-06 19:29:14.245000+00:00,2021-08-06 19:41:58.292000+00:00,764,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-06 19:30:03.350000+00:00,2021-08-06 19:34:43.011000+00:00,279,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-06 19:30:18.422000+00:00,2021-08-06 19:34:19.611000+00:00,241,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-08-06 19:35:15.881000+00:00,2021-08-06 19:47:31.299000+00:00,735,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-08-06 19:35:28.067000+00:00,2021-08-06 19:45:32.778000+00:00,604,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-06 19:45:10.292000+00:00,2021-08-06 19:53:33.632000+00:00,503,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-08-06 19:52:26.098000+00:00,2021-08-06 20:10:33.296000+00:00,1087,1093,Belford Road,Outside Scottish National Gallery of Modern Art,55.95197357717703,-3.226124804664096,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 19:53:16.317000+00:00,2021-08-06 20:04:31.863000+00:00,675,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-08-06 19:54:12.937000+00:00,2021-08-06 20:19:54.829000+00:00,1541,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745
2021-08-06 20:00:56.716000+00:00,2021-08-06 20:08:42.732000+00:00,466,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-08-06 20:03:37.451000+00:00,2021-08-06 20:37:28.367000+00:00,2030,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2021-08-06 20:20:49.273000+00:00,2021-08-06 20:51:14.647000+00:00,1825,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 20:33:53.659000+00:00,2021-08-06 20:46:25.804000+00:00,752,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 20:37:01.943000+00:00,2021-08-06 23:02:00.674000+00:00,8698,1754,Murrayfield Tram,Next to Murrayfield Tram Station,55.94191081116495,-3.2378003138226177,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095965
2021-08-06 20:37:18.274000+00:00,2021-08-06 20:47:47.427000+00:00,629,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-06 20:49:42.168000+00:00,2021-08-06 20:55:57.205000+00:00,375,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434
2021-08-06 20:52:54.001000+00:00,2021-08-06 21:15:50.436000+00:00,1376,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-08-06 20:52:54.155000+00:00,2021-08-06 20:59:25.750000+00:00,391,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467
2021-08-06 20:52:55.970000+00:00,2021-08-06 21:14:18.371000+00:00,1282,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-08-06 20:54:07.295000+00:00,2021-08-06 21:13:01.844000+00:00,1134,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-08-06 20:57:48.239000+00:00,2021-08-06 21:23:10.259000+00:00,1522,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-06 21:02:21.187000+00:00,2021-08-06 21:49:45.764000+00:00,2844,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-08-06 21:09:01.273000+00:00,2021-08-06 22:06:04.333000+00:00,3423,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417
2021-08-06 21:09:34.273000+00:00,2021-08-06 21:59:35.502000+00:00,3001,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-08-06 21:09:38.475000+00:00,2021-08-06 21:39:48.871000+00:00,1810,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918
2021-08-06 21:09:58.734000+00:00,2021-08-06 21:59:46.882000+00:00,2988,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-08-06 21:10:07.724000+00:00,2021-08-06 22:06:49.213000+00:00,3401,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-08-06 21:10:26.959000+00:00,2021-08-06 21:40:31.594000+00:00,1804,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918
2021-08-06 21:19:10.742000+00:00,2021-08-06 21:27:24.713000+00:00,493,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-08-06 21:19:41.623000+00:00,2021-08-06 21:26:35.292000+00:00,413,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-08-06 21:29:45.796000+00:00,2021-08-06 21:34:36.399000+00:00,290,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-06 21:30:54.163000+00:00,2021-08-06 21:35:31.349000+00:00,277,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657
2021-08-06 21:49:28.344000+00:00,2021-08-06 22:32:31.899000+00:00,2583,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-08-06 21:49:31.356000+00:00,2021-08-06 22:31:20.515000+00:00,2509,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.231847150914064
2021-08-06 21:49:57.272000+00:00,2021-08-06 22:03:12.600000+00:00,795,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-08-06 21:53:38.895000+00:00,2021-08-06 22:06:18.882000+00:00,759,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-08-06 21:58:23.861000+00:00,2021-08-06 22:31:37.099000+00:00,1993,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-06 21:59:38.037000+00:00,2021-08-06 22:31:43.519000+00:00,1925,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-06 22:02:51.312000+00:00,2021-08-06 22:21:09.845000+00:00,1098,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-06 22:16:11.135000+00:00,2021-08-06 22:32:24.932000+00:00,973,289,Castle Street,Near Rose Street,55.95150073734976,-3.2031839065252825,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-06 22:20:35.072000+00:00,2021-08-06 22:32:49.558000+00:00,734,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-06 22:28:42.380000+00:00,2021-08-06 22:36:02.579000+00:00,440,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-08-06 22:35:02.933000+00:00,2021-08-06 22:41:38.431000+00:00,395,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-08-06 22:35:41.124000+00:00,2021-08-06 23:02:45.494000+00:00,1624,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.92135417116336,-3.1369712992544976,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-06 22:41:14.539000+00:00,2021-08-07 00:09:36.291000+00:00,5301,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417
2021-08-06 22:47:02.553000+00:00,2021-08-06 22:53:33.203000+00:00,390,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-08-06 22:49:02.734000+00:00,2021-08-07 00:11:24.664000+00:00,4941,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417
2021-08-06 22:51:46.776000+00:00,2021-08-06 22:58:14.647000+00:00,387,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-06 22:57:24.778000+00:00,2021-08-06 23:12:36.360000+00:00,911,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-08-06 22:57:50.593000+00:00,2021-08-06 23:12:56.016000+00:00,905,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-08-06 23:07:56.313000+00:00,2021-08-06 23:18:21.678000+00:00,625,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-08-06 23:09:43.995000+00:00,2021-08-06 23:17:04.200000+00:00,440,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-08-06 23:14:44.901000+00:00,2021-08-06 23:33:24.084000+00:00,1119,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-08-06 23:16:25.151000+00:00,2021-08-06 23:34:18.762000+00:00,1073,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-08-06 23:19:25.318000+00:00,2021-08-07 00:23:42.337000+00:00,3857,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-06 23:19:48.211000+00:00,2021-08-06 23:25:25.644000+00:00,337,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1753,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853
2021-08-06 23:24:12.114000+00:00,2021-08-06 23:38:52.785000+00:00,880,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2021-08-06 23:31:36.470000+00:00,2021-08-06 23:39:42.071000+00:00,485,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-08-06 23:33:13.773000+00:00,2021-08-06 23:53:39.243000+00:00,1225,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-08-06 23:42:11.238000+00:00,2021-08-07 00:14:50.042000+00:00,1958,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 23:43:49.205000+00:00,2021-08-07 00:17:28.529000+00:00,2019,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-06 23:58:04.143000+00:00,2021-08-07 00:01:31.469000+00:00,207,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-07 00:26:30.509000+00:00,2021-08-07 00:33:03.746000+00:00,393,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184
2021-08-07 00:27:18.255000+00:00,2021-08-07 01:33:27.767000+00:00,3969,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2021-08-07 00:35:31.406000+00:00,2021-08-07 00:48:43.070000+00:00,791,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003
2021-08-07 00:56:47.793000+00:00,2021-08-07 01:19:14.837000+00:00,1347,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906
2021-08-07 01:11:19.439000+00:00,2021-08-07 01:16:39.259000+00:00,319,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2021-08-07 01:19:27.554000+00:00,2021-08-07 02:57:30.088000+00:00,5882,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-07 01:26:46.825000+00:00,2021-08-07 02:57:29.371000+00:00,5442,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-07 01:27:48.714000+00:00,2021-08-07 02:57:31.430000+00:00,5382,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-07 01:30:42.952000+00:00,2021-08-07 01:40:36.467000+00:00,593,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-07 01:32:59.646000+00:00,2021-08-07 02:57:33.063000+00:00,5073,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-08-07 01:50:42.303000+00:00,2021-08-07 02:05:29.740000+00:00,887,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-07 02:11:53.278000+00:00,2021-08-07 02:22:30.746000+00:00,637,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-08-07 02:28:00.010000+00:00,2021-08-07 02:34:39.511000+00:00,399,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-07 05:32:58.580000+00:00,2021-08-07 06:36:32.715000+00:00,3814,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-07 05:45:17.980000+00:00,2021-08-07 06:22:30.884000+00:00,2232,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-07 05:57:59.542000+00:00,2021-08-07 06:15:46.809000+00:00,1067,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449
2021-08-07 06:03:00.149000+00:00,2021-08-07 06:08:21.181000+00:00,321,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388918,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-08-07 07:02:52.918000+00:00,2021-08-07 07:13:22.804000+00:00,629,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
2021-08-07 07:06:08.835000+00:00,2021-08-07 07:44:04.552000+00:00,2275,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-07 07:14:58.167000+00:00,2021-08-07 07:26:29.166000+00:00,690,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434
2021-08-07 07:16:11.758000+00:00,2021-08-07 07:46:35.163000+00:00,1823,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-07 07:43:10.253000+00:00,2021-08-07 07:50:05.251000+00:00,414,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
