start_station_id,end_station_id,hour,trip_count
171,171,9.0,1
171,171,14.0,2
171,171,15.0,3
171,171,17.0,1
171,171,20.0,1
171,171,21.0,1
171,183,13.0,1
171,183,16.0,1
171,246,16.0,2
171,248,12.0,1
171,248,13.0,1
171,248,14.0,2
171,248,22.0,1
171,249,11.0,1
171,249,13.0,1
171,249,17.0,1
171,249,18.0,1
171,250,10.0,1
171,259,0.0,2
171,259,11.0,2
171,259,17.0,1
171,260,15.0,1
171,264,0.0,1
171,264,10.0,1
171,264,11.0,1
171,264,15.0,1
171,264,16.0,1
171,264,21.0,1
171,265,0.0,2
171,265,12.0,4
171,265,14.0,1
171,265,16.0,1
171,265,18.0,1
171,265,19.0,2
171,265,20.0,1
171,265,21.0,3
171,265,22.0,6
171,265,23.0,1
171,285,10.0,1
171,290,12.0,2
171,290,15.0,1
171,290,20.0,1
171,290,21.0,1
171,290,22.0,1
171,290,23.0,1
171,296,12.0,2
171,296,15.0,1
171,358,17.0,1
171,1024,0.0,1
171,1024,1.0,1
171,1024,6.0,1
171,1024,9.0,2
171,1024,10.0,2
171,1024,11.0,1
171,1024,14.0,3
171,1024,16.0,2
171,1024,17.0,1
171,1024,18.0,1
171,1025,12.0,1
171,1025,13.0,1
171,1025,21.0,1
171,1025,23.0,1
171,1038,16.0,1
171,1038,17.0,5
171,1039,19.0,1
171,1039,23.0,1
171,1051,0.0,1
171,1051,1.0,4
171,1051,2.0,1
171,1051,3.0,1
171,1051,12.0,1
171,1051,13.0,1
171,1051,14.0,1
171,1051,15.0,2
171,1051,17.0,3
171,1051,18.0,1
171,1051,19.0,4
171,1051,20.0,1
171,1051,21.0,1
171,1051,22.0,2
171,1052,13.0,1
171,1090,13.0,1
171,1091,17.0,1
171,1091,18.0,2
171,1091,19.0,1
171,1097,15.0,1
171,1098,1.0,1
171,1098,16.0,1
171,1098,17.0,1
171,1098,23.0,2
171,1721,0.0,1
171,1721,18.0,1
171,1721,19.0,1
171,1721,21.0,1
171,1726,10.0,1
171,1726,11.0,1
171,1726,13.0,1
171,1726,14.0,2
171,1726,19.0,2
171,1726,20.0,3
171,1726,22.0,2
171,1727,0.0,3
171,1727,1.0,4
171,1727,2.0,3
171,1727,6.0,1
171,1727,9.0,1
171,1727,15.0,2
171,1727,17.0,1
171,1727,18.0,1
171,1727,19.0,1
