start_station_id,end_station_id,hour,trip_count
171,171,11.0,2
171,171,13.0,1
171,183,12.0,1
171,189,15.0,1
171,246,15.0,1
171,246,16.0,2
171,247,10.0,2
171,248,10.0,1
171,248,11.0,1
171,248,17.0,2
171,250,2.0,1
171,252,10.0,1
171,252,12.0,1
171,253,12.0,1
171,253,15.0,1
171,254,8.0,1
171,258,11.0,1
171,258,14.0,2
171,262,16.0,1
171,265,10.0,1
171,265,13.0,2
171,265,14.0,1
171,265,17.0,1
171,289,11.0,1
171,289,18.0,1
171,358,8.0,1
171,358,9.0,1
171,358,11.0,1
171,1024,10.0,1
171,1024,11.0,1
171,1024,14.0,1
171,1025,18.0,2
171,1028,9.0,2
171,1028,13.0,1
171,1039,5.0,1
171,1051,0.0,1
171,1051,8.0,1
171,1052,11.0,1
171,1090,14.0,1
171,1090,17.0,1
171,1091,15.0,2
171,1091,22.0,1
171,1097,18.0,1
171,1720,12.0,1
171,1720,14.0,1
171,1721,14.0,1
171,1721,18.0,1
171,1727,15.0,1
171,1728,11.0,1
171,1728,12.0,1
171,1728,16.0,1
171,1728,17.0,1
171,1730,11.0,2
171,1731,11.0,1
171,1731,14.0,1
171,1737,15.0,2
171,1738,12.0,1
171,1744,13.0,1
171,1744,15.0,3
171,1744,17.0,3
171,1744,18.0,1
171,1744,20.0,1
171,1744,21.0,2
171,1748,21.0,1
171,1752,19.0,1
171,1758,15.0,1
171,1766,17.0,1
171,1767,0.0,1
171,1767,6.0,1
171,1767,13.0,1
171,1767,14.0,1
171,1767,18.0,3
171,1769,16.0,2
171,1769,17.0,1
171,1769,18.0,2
171,1800,15.0,4
171,1807,10.0,1
171,1808,7.0,2
171,1808,8.0,6
171,1814,15.0,1
171,1814,16.0,1
171,1814,17.0,1
171,1814,19.0,1
171,1821,11.0,1
171,1823,13.0,1
171,1823,14.0,1
183,171,11.0,1
183,171,16.0,2
183,183,0.0,1
183,183,4.0,1
183,183,6.0,1
183,183,7.0,1
183,183,8.0,2
183,183,9.0,3
183,183,12.0,2
183,183,14.0,5
183,183,15.0,6
183,183,16.0,13
183,183,17.0,7
183,183,18.0,7
183,183,19.0,11
183,183,20.0,2
183,183,21.0,2
183,183,22.0,1
183,189,17.0,1
183,225,13.0,1
183,225,17.0,1
183,225,21.0,1
183,246,12.0,2
183,246,15.0,1
183,247,8.0,1
183,247,10.0,1
183,247,13.0,1
183,247,14.0,2
183,247,15.0,2
183,247,17.0,3
183,248,6.0,1
183,248,10.0,1
183,248,12.0,1
183,248,16.0,1
183,248,18.0,1
183,248,19.0,1
183,249,15.0,2
183,249,18.0,2
183,249,19.0,1
183,249,22.0,1
183,250,15.0,4
183,250,16.0,2
183,250,17.0,5
183,250,18.0,3
183,250,20.0,2
183,250,21.0,1
183,254,7.0,1
183,256,11.0,1
183,256,15.0,3
183,256,17.0,2
183,258,10.0,1
183,258,11.0,2
183,258,13.0,2
183,258,14.0,2
183,258,16.0,1
183,258,17.0,1
183,258,19.0,2
183,259,12.0,1
183,259,14.0,1
183,259,15.0,2
183,259,16.0,1
183,259,21.0,1
183,259,22.0,1
183,262,13.0,1
183,262,21.0,1
183,262,22.0,1
183,264,7.0,2
183,264,13.0,2
183,264,14.0,1
183,264,15.0,1
183,264,16.0,2
183,265,9.0,1
183,265,10.0,1
183,265,12.0,1
183,265,13.0,2
183,265,14.0,2
183,265,16.0,3
183,265,17.0,2
183,285,3.0,1
183,285,10.0,4
183,285,11.0,1
183,285,12.0,5
183,285,15.0,2
183,285,16.0,2
183,285,19.0,1
183,285,21.0,1
183,289,11.0,1
183,289,16.0,2
183,289,17.0,1
183,289,18.0,1
183,289,19.0,1
183,289,20.0,2
183,289,22.0,1
183,296,7.0,4
183,296,14.0,1
183,296,19.0,1
183,358,9.0,1
183,358,10.0,2
183,358,14.0,1
183,358,15.0,1
183,358,16.0,4
183,358,17.0,1
183,358,18.0,3
183,358,19.0,4
183,358,20.0,1
183,358,22.0,1
183,1017,15.0,3
183,1019,13.0,1
183,1019,15.0,1
183,1024,9.0,1
183,1024,12.0,1
183,1024,13.0,2
183,1024,14.0,1
183,1024,22.0,1
183,1025,0.0,2
183,1025,4.0,1
183,1025,10.0,1
183,1025,12.0,1
183,1025,15.0,3
183,1025,16.0,1
183,1025,19.0,2
183,1025,21.0,3
183,1028,6.0,1
183,1028,13.0,1
183,1028,15.0,2
183,1028,22.0,1
183,1038,11.0,3
183,1038,14.0,1
183,1038,15.0,3
183,1038,17.0,1
183,1038,19.0,1
183,1038,23.0,1
183,1039,10.0,1
183,1039,16.0,1
183,1050,13.0,2
183,1050,19.0,2
183,1050,20.0,2
183,1051,16.0,1
183,1051,21.0,1
183,1052,12.0,1
183,1052,16.0,2
183,1052,17.0,1
183,1055,9.0,1
183,1055,11.0,1
183,1055,12.0,1
183,1055,15.0,1
183,1055,20.0,1
183,1090,16.0,1
183,1090,20.0,3
183,1090,21.0,2
183,1090,22.0,1
183,1091,10.0,1
183,1091,13.0,1
183,1091,15.0,1
183,1091,16.0,2
183,1091,18.0,1
183,1091,20.0,2
183,1091,21.0,2
183,1091,22.0,2
183,1092,18.0,1
183,1092,19.0,1
183,1093,18.0,1
183,1096,22.0,1
183,1097,6.0,1
183,1097,7.0,1
183,1098,10.0,1
183,1102,9.0,1
183,1102,10.0,1
183,1102,12.0,1
183,1102,15.0,1
183,1102,16.0,2
183,1102,18.0,1
183,1102,19.0,1
183,1102,20.0,2
183,1720,14.0,1
183,1720,21.0,1
183,1720,22.0,1
183,1721,10.0,1
183,1721,13.0,1
183,1721,14.0,1
183,1721,16.0,2
183,1721,18.0,1
183,1721,21.0,1
183,1722,9.0,1
183,1725,13.0,1
183,1726,7.0,1
183,1726,13.0,1
183,1726,17.0,1
183,1727,11.0,1
183,1727,12.0,1
183,1727,13.0,1
183,1727,16.0,1
183,1727,19.0,1
183,1727,20.0,2
183,1727,21.0,1
183,1727,22.0,1
183,1728,2.0,1
183,1728,8.0,1
183,1728,9.0,2
183,1728,11.0,1
183,1728,12.0,1
183,1728,13.0,2
183,1728,14.0,3
183,1728,15.0,5
183,1728,16.0,2
183,1728,17.0,8
183,1728,18.0,4
183,1728,20.0,1
183,1729,13.0,1
183,1729,15.0,1
183,1730,4.0,1
183,1730,17.0,1
183,1730,18.0,1
183,1737,10.0,4
183,1737,13.0,1
183,1737,14.0,3
183,1737,15.0,2
183,1738,5.0,1
183,1738,18.0,1
183,1738,20.0,1
183,1739,5.0,1
183,1739,10.0,1
183,1743,15.0,1
183,1743,16.0,1
183,1743,21.0,1
183,1743,22.0,1
183,1744,5.0,1
183,1744,13.0,1
183,1744,15.0,1
183,1744,16.0,2
183,1744,17.0,2
183,1744,18.0,2
183,1744,20.0,2
183,1745,4.0,1
183,1745,10.0,1
183,1745,12.0,1
183,1745,16.0,1
183,1745,17.0,4
183,1745,19.0,1
183,1745,20.0,1
183,1747,13.0,1
183,1748,19.0,1
183,1749,18.0,1
183,1752,16.0,1
183,1752,17.0,1
183,1752,20.0,2
183,1752,21.0,1
183,1753,15.0,2
183,1753,17.0,1
183,1754,13.0,1
183,1754,15.0,1
183,1754,20.0,2
183,1756,7.0,7
183,1757,9.0,1
183,1757,21.0,1
183,1763,22.0,1
183,1765,17.0,1
183,1765,18.0,1
183,1765,20.0,2
183,1766,1.0,1
183,1766,12.0,1
183,1766,13.0,1
183,1766,14.0,1
183,1766,15.0,1
183,1766,16.0,3
183,1766,18.0,1
183,1766,19.0,1
183,1766,20.0,1
183,1767,2.0,1
183,1767,12.0,3
183,1767,14.0,3
183,1767,15.0,2
183,1767,17.0,2
183,1767,18.0,1
183,1767,20.0,1
183,1767,21.0,2
183,1769,16.0,1
183,1769,17.0,1
183,1769,18.0,2
183,1769,19.0,1
183,1769,20.0,1
183,1769,22.0,1
183,1769,23.0,1
183,1770,20.0,1
183,1798,13.0,4
183,1798,15.0,1
183,1799,15.0,1
183,1800,11.0,2
183,1800,12.0,2
183,1800,13.0,2
183,1800,18.0,1
183,1808,13.0,1
183,1808,15.0,1
183,1808,16.0,2
183,1808,18.0,1
183,1813,16.0,1
183,1814,11.0,1
183,1814,13.0,3
183,1814,14.0,2
183,1814,15.0,1
183,1814,16.0,1
183,1814,17.0,3
183,1818,9.0,3
183,1818,10.0,3
183,1818,11.0,2
183,1818,13.0,1
183,1818,14.0,2
183,1818,18.0,1
183,1818,20.0,1
183,1821,11.0,2
183,1821,15.0,2
183,1822,12.0,1
183,1823,1.0,2
183,1823,13.0,1
183,1823,14.0,4
183,1823,15.0,4
183,1823,16.0,2
183,1823,17.0,2
183,1823,18.0,2
183,1823,20.0,1
183,1824,0.0,1
183,1824,11.0,3
183,1824,13.0,1
183,1824,16.0,5
183,1824,17.0,4
183,1824,19.0,6
183,1824,20.0,2
183,1824,21.0,3
183,1824,22.0,4
183,2259,11.0,1
183,2259,12.0,1
183,2259,17.0,1
183,2259,18.0,4
183,2259,20.0,1
183,2259,21.0,2
183,2259,22.0,4
183,2263,19.0,2
189,183,15.0,1
189,183,17.0,3
189,183,18.0,1
189,189,9.0,1
189,189,10.0,1
189,189,11.0,2
189,189,13.0,2
189,189,15.0,1
189,189,16.0,1
189,189,18.0,2
189,225,12.0,1
189,246,14.0,1
189,246,16.0,1
189,246,21.0,2
189,247,16.0,1
189,247,20.0,2
189,248,14.0,1
189,249,16.0,1
189,250,0.0,1
189,250,9.0,2
189,250,12.0,3
189,250,15.0,2
189,250,17.0,1
189,250,19.0,1
