start_station_id,end_station_id,hour,trip_count
171,171,8.0,1
171,171,10.0,2
171,171,13.0,1
171,171,14.0,5
171,171,15.0,1
171,171,16.0,2
171,171,17.0,1
171,171,19.0,2
171,171,20.0,2
171,183,9.0,1
171,183,12.0,1
171,189,0.0,1
171,189,13.0,1
171,225,17.0,1
171,246,23.0,2
171,247,18.0,1
171,248,1.0,1
171,248,13.0,1
171,248,14.0,1
171,248,16.0,2
171,249,0.0,4
171,249,17.0,2
171,249,20.0,1
171,250,16.0,1
171,251,17.0,2
171,252,9.0,1
171,252,10.0,1
171,252,11.0,1
171,252,13.0,1
171,252,16.0,2
171,253,12.0,1
171,253,14.0,1
171,254,8.0,1
171,254,11.0,2
171,254,14.0,2
171,254,17.0,1
171,256,19.0,1
171,256,22.0,1
171,257,10.0,2
171,257,14.0,2
171,257,19.0,1
171,259,13.0,1
171,259,15.0,1
171,259,16.0,1
171,259,21.0,1
171,260,12.0,1
171,260,15.0,1
171,261,13.0,2
171,261,14.0,1
171,264,0.0,2
171,264,10.0,2
171,264,11.0,1
171,264,12.0,3
171,264,13.0,3
171,264,14.0,1
171,264,15.0,3
171,264,16.0,1
171,264,17.0,3
171,264,18.0,3
171,264,19.0,1
171,264,22.0,3
171,265,12.0,3
171,265,13.0,1
171,265,15.0,1
171,265,16.0,2
171,265,17.0,2
171,265,18.0,1
171,265,19.0,2
171,265,20.0,1
171,265,22.0,1
171,265,23.0,1
171,275,17.0,2
171,289,16.0,1
171,289,17.0,1
171,289,18.0,1
171,289,19.0,1
171,290,1.0,1
171,290,4.0,1
171,290,12.0,6
171,290,15.0,1
171,290,16.0,2
171,290,17.0,4
171,290,18.0,1
171,290,19.0,4
171,290,21.0,1
171,290,22.0,2
171,290,23.0,5
171,340,11.0,1
171,340,14.0,1
171,340,16.0,1
171,340,18.0,1
171,341,7.0,1
171,341,12.0,1
171,341,14.0,1
171,341,18.0,1
171,342,17.0,1
171,342,21.0,1
171,344,3.0,1
171,344,12.0,1
171,344,22.0,1
171,345,10.0,3
171,345,20.0,1
171,346,1.0,1
171,346,11.0,1
171,346,12.0,1
171,346,18.0,1
171,346,19.0,1
171,347,18.0,1
171,349,18.0,1
171,349,19.0,1
171,351,11.0,1
171,352,8.0,4
171,352,12.0,1
171,352,15.0,1
171,352,18.0,6
171,352,20.0,1
171,355,21.0,1
171,356,12.0,1
171,356,20.0,1
171,358,15.0,1
171,358,17.0,1
171,359,15.0,1
171,359,17.0,3
171,359,18.0,1
171,359,19.0,1
171,359,20.0,2
183,171,13.0,1
183,171,17.0,2
183,183,2.0,1
183,183,10.0,1
183,183,11.0,1
183,183,14.0,4
183,183,15.0,2
183,183,16.0,2
183,183,18.0,1
183,189,13.0,1
183,189,15.0,1
183,225,13.0,2
183,246,16.0,2
183,248,15.0,1
183,249,12.0,1
183,249,17.0,1
183,249,19.0,1
183,250,8.0,1
183,250,14.0,1
183,250,17.0,1
183,252,8.0,5
183,252,10.0,1
183,256,14.0,2
183,257,3.0,1
183,257,14.0,2
183,258,16.0,1
183,259,14.0,3
183,260,19.0,1
183,261,2.0,1
183,261,3.0,1
183,261,16.0,2
183,261,17.0,3
183,262,13.0,1
183,262,19.0,2
183,264,15.0,1
183,264,18.0,1
183,265,9.0,1
183,273,0.0,1
183,273,16.0,1
183,273,20.0,1
183,275,11.0,1
183,275,17.0,1
183,275,21.0,1
183,285,8.0,1
183,285,9.0,3
183,285,19.0,1
183,290,16.0,1
183,290,17.0,3
183,297,11.0,2
183,340,17.0,1
183,340,18.0,1
183,341,6.0,1
183,341,7.0,8
183,344,17.0,1
183,349,1.0,1
183,349,16.0,1
183,349,18.0,3
183,350,8.0,1
183,350,11.0,1
183,351,9.0,1
183,352,21.0,1
183,352,22.0,1
183,354,16.0,1
183,355,8.0,1
183,355,14.0,1
183,357,16.0,2
183,357,19.0,1
183,358,0.0,1
183,358,1.0,4
183,358,16.0,1
183,358,17.0,1
183,358,20.0,1
183,359,18.0,1
183,366,3.0,1
183,366,17.0,2
189,171,15.0,2
189,183,11.0,1
189,183,12.0,1
189,189,0.0,1
189,189,9.0,1
189,189,11.0,1
189,189,12.0,2
189,189,14.0,2
189,189,15.0,1
189,189,17.0,1
189,189,18.0,1
189,225,12.0,1
189,225,14.0,1
189,225,16.0,3
189,248,6.0,1
189,248,13.0,1
189,248,15.0,1
189,248,18.0,1
189,248,19.0,1
189,250,0.0,1
189,250,11.0,3
189,250,12.0,2
189,250,13.0,2
189,250,17.0,1
189,254,8.0,2
189,254,9.0,2
189,254,10.0,1
189,256,11.0,1
189,256,14.0,1
189,259,11.0,2
189,259,13.0,3
189,259,14.0,3
189,260,15.0,1
189,260,17.0,1
189,261,14.0,1
189,261,15.0,1
189,261,23.0,2
189,262,1.0,1
189,262,2.0,1
189,262,15.0,1
189,262,16.0,2
189,262,17.0,2
189,262,22.0,2
189,264,3.0,1
189,264,10.0,2
189,264,14.0,1
189,264,16.0,1
189,265,0.0,1
189,265,17.0,1
189,265,23.0,1
189,273,0.0,4
189,273,1.0,1
189,273,2.0,1
189,273,15.0,1
189,273,16.0,3
189,273,23.0,2
189,275,15.0,1
189,277,20.0,1
189,284,15.0,1
189,284,16.0,1
189,285,22.0,1
189,285,23.0,1
189,289,19.0,2
189,290,4.0,1
189,290,16.0,4
189,290,17.0,1
189,296,9.0,1
189,296,14.0,1
189,341,7.0,1
189,341,8.0,2
189,343,12.0,1
189,343,14.0,1
189,344,17.0,5
189,345,19.0,1
189,346,16.0,1
189,346,17.0,1
189,346,18.0,1
189,351,7.0,1
189,352,21.0,2
189,355,10.0,2
189,355,14.0,3
189,356,15.0,1
189,357,15.0,1
189,358,16.0,1
189,358,17.0,2
189,358,21.0,1
189,366,0.0,1
189,366,14.0,1
189,366,17.0,2
225,189,14.0,2
225,225,13.0,2
225,225,17.0,2
225,225,19.0,1
225,246,21.0,1
225,246,22.0,1
225,248,12.0,1
225,248,16.0,1
225,250,12.0,1
225,253,10.0,1
225,254,18.0,1
225,257,14.0,1
225,257,17.0,1
225,261,6.0,3
225,261,18.0,1
225,265,9.0,1
225,273,10.0,1
225,273,17.0,1
225,275,12.0,2
225,275,16.0,2
225,284,0.0,1
225,284,16.0,3
225,284,17.0,5
