start_station_id,end_station_id,hour,trip_count
171,171,10.0,1
171,171,12.0,2
171,171,13.0,1
171,171,15.0,1
171,171,17.0,1
171,171,18.0,4
171,171,21.0,2
171,171,22.0,1
171,171,23.0,1
171,183,9.0,1
171,183,10.0,1
171,183,11.0,2
171,246,18.0,1
171,246,20.0,1
171,247,18.0,1
171,248,15.0,2
171,250,11.0,1
171,250,12.0,1
171,250,14.0,1
171,253,19.0,1
171,258,10.0,1
171,259,14.0,1
171,259,17.0,1
171,259,21.0,1
171,259,23.0,1
171,262,18.0,3
171,264,19.0,1
171,265,10.0,1
171,289,15.0,2
171,296,12.0,1
171,358,16.0,1
171,358,17.0,1
171,1019,12.0,1
171,1019,17.0,1
171,1024,10.0,1
171,1024,12.0,2
171,1024,19.0,1
171,1024,20.0,1
171,1024,21.0,3
171,1025,13.0,1
171,1025,17.0,1
171,1051,12.0,1
171,1051,16.0,1
171,1051,22.0,1
171,1091,11.0,1
171,1091,14.0,1
171,1092,9.0,1
171,1092,18.0,1
171,1092,20.0,1
171,1096,9.0,1
171,1098,18.0,3
171,1098,20.0,1
171,1720,17.0,1
171,1721,2.0,1
171,1721,13.0,1
171,1721,16.0,1
171,1727,13.0,1
171,1727,16.0,1
171,1728,11.0,4
171,1728,12.0,1
171,1728,13.0,1
171,1728,19.0,1
171,1731,20.0,2
171,1739,15.0,1
171,1744,10.0,3
171,1744,18.0,1
171,1745,15.0,1
171,1745,19.0,3
171,1767,18.0,1
171,1767,20.0,1
171,1814,15.0,1
171,1814,17.0,2
171,1814,19.0,1
171,1821,7.0,1
171,1823,11.0,1
171,1823,12.0,1
171,2268,15.0,1
171,2268,19.0,1
183,171,14.0,1
183,171,20.0,1
183,183,0.0,2
183,183,1.0,1
183,183,4.0,2
183,183,7.0,1
183,183,9.0,2
183,183,11.0,1
183,183,14.0,1
183,183,16.0,3
183,183,17.0,5
183,183,18.0,2
183,183,19.0,3
183,183,22.0,1
183,189,10.0,3
183,189,19.0,1
183,225,18.0,3
183,247,12.0,1
183,247,15.0,5
183,248,11.0,1
183,248,15.0,1
183,248,16.0,1
183,249,14.0,1
183,250,1.0,2
183,250,11.0,1
183,250,12.0,1
183,250,13.0,2
183,250,14.0,3
183,250,15.0,3
183,250,18.0,2
183,250,21.0,1
183,251,9.0,1
183,251,16.0,1
183,251,21.0,1
183,253,11.0,1
183,253,12.0,1
183,253,16.0,1
183,254,7.0,1
183,254,8.0,1
183,254,9.0,1
183,258,14.0,3
183,258,19.0,1
183,259,12.0,1
183,259,14.0,2
183,259,15.0,2
183,259,16.0,2
183,259,19.0,1
183,260,18.0,1
183,262,6.0,1
183,262,7.0,1
183,262,9.0,1
183,262,15.0,1
183,262,17.0,1
183,262,19.0,1
183,264,1.0,1
183,264,14.0,1
183,264,16.0,1
183,264,18.0,1
183,264,21.0,1
183,265,12.0,1
183,265,13.0,1
183,265,16.0,2
183,289,9.0,1
183,289,10.0,1
183,289,14.0,1
183,349,8.0,2
183,349,17.0,2
183,358,7.0,1
183,358,9.0,2
183,358,19.0,2
183,358,21.0,2
183,1017,11.0,1
183,1019,9.0,1
183,1019,10.0,1
183,1019,12.0,1
183,1019,14.0,2
183,1024,9.0,1
183,1024,13.0,1
183,1024,14.0,1
183,1024,17.0,1
183,1024,19.0,1
183,1025,18.0,2
183,1025,21.0,1
183,1025,22.0,2
183,1028,13.0,1
183,1028,16.0,2
183,1038,15.0,1
183,1038,17.0,3
183,1038,18.0,2
183,1039,8.0,1
183,1039,10.0,2
183,1039,14.0,1
183,1039,20.0,2
183,1039,21.0,3
183,1050,17.0,2
183,1051,9.0,1
183,1051,14.0,1
183,1051,15.0,1
183,1052,8.0,1
183,1091,13.0,1
183,1091,14.0,1
183,1091,17.0,3
183,1092,16.0,2
183,1092,19.0,1
183,1092,22.0,4
183,1092,23.0,1
183,1096,16.0,2
183,1098,14.0,2
183,1098,19.0,1
183,1098,22.0,1
183,1098,23.0,1
183,1102,10.0,1
183,1102,13.0,1
183,1721,15.0,2
183,1721,18.0,4
183,1722,16.0,1
183,1725,14.0,2
183,1726,13.0,1
183,1726,17.0,1
183,1726,21.0,3
183,1727,12.0,1
183,1727,20.0,1
183,1727,22.0,1
183,1728,9.0,1
183,1728,13.0,1
183,1728,14.0,1
183,1728,15.0,5
183,1728,19.0,2
183,1728,20.0,1
183,1737,13.0,3
183,1737,15.0,1
183,1737,17.0,3
183,1744,12.0,1
183,1744,19.0,2
183,1745,17.0,1
183,1748,12.0,1
183,1749,17.0,1
183,1756,5.0,3
183,1757,9.0,1
183,1763,10.0,2
183,1763,15.0,2
183,1763,16.0,1
183,1767,10.0,1
183,1767,12.0,1
183,1767,13.0,2
183,1767,15.0,1
183,1769,10.0,2
183,1769,11.0,1
183,1769,12.0,1
183,1769,15.0,2
183,1769,16.0,1
183,1769,17.0,1
183,1769,19.0,1
183,1769,20.0,1
183,1798,12.0,2
183,1809,8.0,1
183,1814,11.0,3
183,1814,12.0,2
183,1814,14.0,1
183,1814,16.0,3
183,1814,17.0,1
183,1814,18.0,1
183,1814,19.0,2
183,1814,21.0,2
183,1814,22.0,2
183,1818,7.0,4
183,1818,11.0,2
183,1818,14.0,1
183,1818,20.0,1
183,1821,8.0,1
183,1821,10.0,3
183,1821,13.0,3
183,1821,14.0,1
183,1821,15.0,1
183,1822,15.0,1
183,1823,20.0,2
183,1824,6.0,1
183,1824,8.0,1
183,1824,12.0,1
183,1824,13.0,1
183,1824,14.0,1
183,1824,15.0,1
183,1824,21.0,2
183,1824,23.0,1
183,2259,0.0,1
183,2259,6.0,1
183,2259,12.0,1
183,2259,15.0,3
183,2259,17.0,1
183,2259,18.0,1
183,2259,22.0,1
183,2263,18.0,1
183,2268,7.0,1
183,2268,8.0,2
183,2268,10.0,2
189,183,12.0,2
189,183,13.0,1
189,183,17.0,1
189,189,5.0,1
189,189,12.0,1
189,189,13.0,1
189,189,14.0,1
189,189,16.0,1
189,189,17.0,1
189,189,19.0,2
189,189,20.0,1
189,189,21.0,2
189,225,11.0,1
189,248,18.0,1
189,248,19.0,2
189,250,13.0,2
189,252,15.0,3
189,253,4.0,1
189,253,16.0,1
189,254,5.0,1
189,254,8.0,1
189,254,9.0,1
189,258,16.0,1
189,259,12.0,2
189,259,19.0,2
189,260,13.0,2
189,260,17.0,1
189,260,19.0,1
189,264,2.0,1
189,264,10.0,2
189,264,13.0,1
189,264,14.0,1
189,264,18.0,1
189,264,19.0,1
189,264,20.0,3
189,265,11.0,1
189,265,12.0,1
189,265,13.0,2
189,265,14.0,4
189,265,15.0,2
189,265,16.0,1
189,265,17.0,1
189,265,18.0,2
189,265,19.0,2
189,265,20.0,2
189,265,21.0,1
189,289,7.0,1
189,289,8.0,4
189,289,9.0,1
189,289,12.0,1
189,289,13.0,2
189,289,14.0,3
189,289,16.0,3
189,358,8.0,1
189,358,17.0,1
189,358,19.0,1
189,358,21.0,1
189,1019,18.0,2
189,1024,1.0,2
189,1024,17.0,1
189,1025,18.0,1
189,1025,19.0,1
189,1025,20.0,1
189,1025,22.0,2
189,1025,23.0,1
189,1028,16.0,1
189,1038,7.0,1
189,1038,11.0,1
189,1050,21.0,2
189,1050,23.0,1
189,1051,17.0,2
189,1090,19.0,1
189,1097,18.0,1
189,1102,21.0,1
189,1721,9.0,1
189,1721,10.0,1
189,1727,0.0,1
189,1727,12.0,2
189,1727,13.0,1
189,1727,14.0,1
189,1727,15.0,1
189,1727,21.0,3
189,1727,22.0,4
189,1728,16.0,1
189,1728,17.0,1
189,1728,20.0,2
189,1729,15.0,1
189,1730,15.0,1
189,1739,16.0,2
189,1744,11.0,1
189,1744,13.0,1
189,1749,23.0,1
189,1758,16.0,1
189,1763,10.0,1
189,1763,13.0,3
189,1763,14.0,1
189,1763,18.0,1
189,1767,14.0,1
189,1767,15.0,1
189,1769,15.0,1
189,1769,17.0,2
189,1798,11.0,1
189,1798,16.0,1
189,1798,18.0,1
189,1798,20.0,1
189,1798,21.0,1
189,1814,14.0,1
189,1818,10.0,1
189,1818,15.0,2
189,1823,11.0,1
189,1823,18.0,1
189,1824,17.0,3
189,1824,20.0,1
189,2259,20.0,1
189,2259,22.0,1
189,2263,12.0,1
189,2263,14.0,3
189,2263,16.0,3
189,2268,17.0,1
225,171,14.0,1
225,183,9.0,1
225,225,0.0,1
225,225,5.0,1
225,225,13.0,1
225,225,15.0,3
225,225,18.0,1
225,225,22.0,2
225,250,11.0,2
225,253,15.0,2
225,253,19.0,1
225,265,19.0,1
225,296,8.0,2
225,296,12.0,3
225,296,14.0,2
225,296,17.0,1
225,1052,23.0,1
225,1091,13.0,1
225,1725,18.0,3
225,1728,13.0,1
225,1728,14.0,3
225,1728,17.0,1
225,1728,18.0,1
225,1728,19.0,3
225,1728,20.0,1
225,1737,9.0,2
225,1745,17.0,1
225,1770,18.0,1
225,1813,0.0,1
225,1814,10.0,2
225,1814,11.0,1
225,1814,13.0,1
225,1814,15.0,1
225,1814,18.0,2
225,1821,4.0,2
225,1821,17.0,2
225,2263,17.0,1
246,171,7.0,1
246,225,14.0,1
246,246,12.0,3
246,246,19.0,1
246,246,20.0,3
246,248,15.0,1
246,250,13.0,2
246,260,20.0,1
246,264,9.0,2
246,264,14.0,3
246,264,16.0,1
246,264,18.0,1
246,264,22.0,1
246,265,17.0,1
246,289,13.0,1
246,358,11.0,1
246,358,16.0,1
246,1019,22.0,3
246,1024,6.0,1
246,1024,19.0,1
246,1028,17.0,1
246,1028,20.0,1
246,1050,20.0,1
246,1051,21.0,1
246,1090,1.0,1
246,1091,2.0,1
246,1091,13.0,1
246,1098,10.0,1
246,1722,12.0,1
246,1726,8.0,1
246,1728,12.0,2
246,1728,16.0,1
246,1728,19.0,1
246,1728,22.0,2
246,1729,6.0,2
246,1729,20.0,1
246,1729,21.0,1
246,1730,12.0,1
246,1731,13.0,1
246,1731,19.0,1
246,1737,9.0,1
246,1737,10.0,1
246,1744,15.0,1
246,1744,20.0,1
246,1748,12.0,1
246,1753,7.0,1
246,1757,9.0,1
246,1765,13.0,1
246,1769,8.0,1
246,1769,18.0,1
246,1813,14.0,1
246,1814,11.0,1
246,1814,17.0,1
246,1814,20.0,2
246,1818,18.0,1
246,2263,8.0,1
246,2268,12.0,1
246,2268,13.0,1
247,183,17.0,2
247,225,13.0,1
247,225,14.0,1
247,247,10.0,1
247,247,14.0,1
247,247,17.0,1
247,247,22.0,1
247,247,23.0,1
247,248,15.0,1
247,248,16.0,1
247,249,15.0,2
247,250,13.0,3
247,250,17.0,8
247,254,8.0,1
247,258,8.0,1
247,258,15.0,1
247,258,16.0,1
247,258,18.0,1
247,258,19.0,1
247,258,21.0,1
247,258,22.0,1
247,259,10.0,4
247,259,17.0,1
247,259,19.0,1
247,259,21.0,1
247,259,23.0,1
247,262,11.0,2
247,262,21.0,1
247,262,22.0,6
247,262,23.0,1
247,264,13.0,1
247,264,20.0,2
247,265,6.0,1
247,265,11.0,1
247,265,14.0,1
247,265,18.0,1
247,289,13.0,1
247,296,23.0,1
247,358,16.0,1
247,358,21.0,2
247,1017,13.0,2
247,1019,15.0,3
247,1024,11.0,2
247,1025,12.0,1
247,1025,14.0,1
247,1025,15.0,2
247,1025,16.0,1
247,1025,18.0,1
247,1025,21.0,2
247,1025,22.0,1
247,1028,15.0,1
247,1028,16.0,1
247,1028,19.0,1
247,1028,20.0,1
247,1038,18.0,2
247,1038,23.0,1
247,1039,16.0,1
247,1039,17.0,1
247,1039,22.0,1
247,1042,13.0,2
247,1050,12.0,1
247,1091,11.0,1
247,1091,23.0,1
247,1092,15.0,2
247,1092,17.0,1
247,1092,19.0,1
247,1092,21.0,2
247,1092,22.0,1
247,1098,18.0,1
247,1720,23.0,1
247,1721,16.0,2
247,1722,10.0,1
247,1722,15.0,1
247,1722,16.0,3
247,1726,8.0,1
247,1728,10.0,2
247,1728,13.0,1
247,1728,14.0,3
247,1728,15.0,3
247,1728,16.0,2
247,1729,13.0,1
247,1729,15.0,2
247,1730,4.0,1
247,1730,14.0,1
247,1730,18.0,1
247,1730,23.0,2
247,1737,17.0,1
247,1737,22.0,1
247,1738,13.0,1
247,1738,15.0,1
247,1738,21.0,1
247,1744,12.0,1
247,1744,17.0,1
247,1745,21.0,3
247,1748,13.0,1
247,1748,16.0,3
247,1748,18.0,1
247,1753,16.0,1
247,1754,16.0,4
247,1757,16.0,1
247,1763,12.0,2
247,1763,14.0,2
247,1767,11.0,1
247,1767,21.0,2
247,1809,15.0,2
247,1814,10.0,1
247,1818,12.0,3
247,1818,14.0,2
247,1821,17.0,1
247,1821,21.0,1
247,1823,6.0,1
247,1824,16.0,1
247,1824,17.0,1
247,1824,18.0,1
247,1824,21.0,2
247,2268,16.0,1
248,171,9.0,1
248,171,14.0,1
248,171,18.0,2
248,183,9.0,1
248,183,10.0,1
248,183,13.0,1
248,183,15.0,1
248,183,16.0,1
248,183,18.0,1
248,183,23.0,1
248,189,18.0,1
248,225,17.0,2
248,246,17.0,1
248,248,9.0,1
248,248,11.0,1
248,248,13.0,1
248,248,14.0,1
248,248,15.0,3
248,248,16.0,1
248,248,17.0,1
248,248,18.0,2
248,248,20.0,1
248,248,22.0,1
248,248,23.0,1
248,249,19.0,1
248,250,19.0,1
248,252,15.0,1
248,253,15.0,1
248,253,16.0,1
248,254,5.0,1
248,254,6.0,1
248,254,14.0,1
248,254,18.0,1
248,258,12.0,1
248,259,8.0,1
248,259,10.0,1
248,260,20.0,1
248,262,8.0,1
248,262,10.0,1
248,262,16.0,1
248,262,17.0,1
248,262,18.0,3
248,264,11.0,4
248,264,13.0,2
248,264,16.0,1
248,264,18.0,2
248,264,21.0,2
248,265,5.0,1
248,265,13.0,1
248,265,14.0,1
248,265,16.0,1
248,289,19.0,1
248,296,15.0,1
248,349,11.0,1
248,358,8.0,1
248,358,16.0,3
248,358,18.0,1
248,358,20.0,1
248,1019,21.0,1
248,1024,7.0,1
248,1024,12.0,1
248,1024,16.0,1
248,1024,17.0,2
248,1025,17.0,1
248,1025,21.0,2
248,1028,8.0,3
248,1038,13.0,1
248,1038,19.0,1
248,1038,21.0,1
248,1039,0.0,1
248,1039,11.0,1
248,1039,14.0,1
248,1042,16.0,1
248,1051,11.0,1
248,1052,15.0,1
248,1090,8.0,1
248,1090,21.0,1
248,1091,8.0,1
248,1091,13.0,1
248,1091,19.0,2
248,1091,20.0,1
248,1091,23.0,1
248,1092,12.0,1
248,1092,13.0,1
248,1092,14.0,1
248,1096,11.0,1
248,1096,14.0,1
248,1096,19.0,1
248,1096,22.0,1
248,1098,13.0,1
248,1098,21.0,1
248,1098,22.0,1
248,1102,7.0,1
248,1102,16.0,1
248,1720,10.0,1
248,1721,8.0,1
248,1721,9.0,1
248,1721,14.0,1
248,1721,15.0,1
248,1721,16.0,1
248,1721,17.0,2
248,1722,9.0,4
248,1722,11.0,1
248,1722,13.0,2
248,1725,22.0,1
248,1726,10.0,1
248,1727,13.0,1
248,1727,22.0,2
248,1728,3.0,1
248,1728,12.0,2
248,1728,14.0,6
248,1728,15.0,2
248,1730,21.0,1
248,1737,9.0,1
248,1744,9.0,1
248,1744,13.0,1
248,1744,14.0,3
248,1744,19.0,1
248,1744,20.0,1
248,1745,13.0,2
