start_station_id,end_station_id,hour,trip_count
171,171,8.0,1
171,171,12.0,4
171,171,14.0,3
171,171,15.0,1
171,171,16.0,2
171,171,17.0,5
171,171,18.0,3
171,171,21.0,2
171,171,23.0,1
171,183,10.0,2
171,183,18.0,1
171,225,13.0,1
171,246,13.0,1
171,246,16.0,2
171,248,8.0,1
171,248,12.0,5
171,248,13.0,1
171,248,14.0,1
171,248,15.0,2
171,248,16.0,1
171,248,17.0,1
171,248,18.0,1
171,249,1.0,1
171,249,8.0,1
171,249,9.0,1
171,249,17.0,1
171,249,18.0,1
171,249,19.0,3
171,249,20.0,1
171,249,22.0,1
171,251,16.0,1
171,251,17.0,2
171,251,18.0,1
171,252,12.0,1
171,253,12.0,1
171,253,14.0,1
171,253,21.0,1
171,253,22.0,1
171,254,7.0,1
171,255,15.0,1
171,256,9.0,1
171,256,10.0,1
171,256,11.0,1
171,257,10.0,1
171,257,12.0,1
171,257,14.0,2
171,258,18.0,1
171,258,20.0,1
171,259,15.0,1
171,259,16.0,2
171,259,18.0,3
171,260,0.0,2
171,260,16.0,2
171,261,8.0,2
171,261,14.0,2
171,261,15.0,2
171,261,16.0,1
171,261,18.0,1
171,261,19.0,4
171,261,23.0,1
171,262,15.0,1
171,262,16.0,1
171,264,1.0,1
171,264,10.0,1
171,264,11.0,2
171,264,12.0,1
171,264,16.0,1
171,264,23.0,1
171,265,0.0,1
171,265,12.0,1
171,265,13.0,3
171,265,14.0,2
171,265,15.0,1
171,265,16.0,13
171,265,17.0,3
171,265,18.0,2
171,265,19.0,2
171,265,20.0,2
171,265,22.0,8
171,265,23.0,1
171,273,0.0,1
171,273,18.0,1
171,275,16.0,3
171,285,18.0,2
171,289,12.0,2
171,289,14.0,3
171,289,16.0,4
171,289,17.0,2
171,289,18.0,2
171,289,19.0,3
171,289,21.0,1
171,289,23.0,1
171,290,10.0,1
171,290,11.0,2
171,290,12.0,1
171,290,15.0,1
171,290,16.0,5
171,290,17.0,5
171,290,18.0,4
171,290,19.0,3
171,290,21.0,1
171,296,10.0,1
171,296,14.0,1
171,296,16.0,1
171,296,19.0,1
171,340,13.0,1
171,340,15.0,2
171,340,16.0,4
171,340,20.0,2
171,341,9.0,1
171,341,11.0,1
171,341,12.0,1
171,341,13.0,1
171,341,16.0,1
171,341,19.0,1
171,341,23.0,2
171,342,15.0,1
171,343,11.0,1
171,343,20.0,1
171,344,11.0,1
171,345,15.0,3
171,345,17.0,2
171,346,10.0,1
171,346,11.0,1
171,346,12.0,1
171,346,16.0,1
171,346,17.0,1
171,346,18.0,1
171,346,19.0,2
171,347,12.0,1
171,351,18.0,2
171,351,20.0,2
171,351,21.0,4
171,352,7.0,7
171,352,12.0,1
171,352,17.0,3
171,352,18.0,2
171,352,20.0,1
171,354,22.0,3
171,354,23.0,2
171,355,2.0,1
171,356,15.0,1
171,356,16.0,1
171,357,12.0,1
171,358,16.0,1
171,359,1.0,3
171,359,11.0,1
171,359,12.0,1
171,359,15.0,1
171,359,18.0,1
171,359,20.0,1
171,359,22.0,2
171,648,16.0,1
171,820,11.0,2
171,820,13.0,2
171,820,18.0,1
171,860,12.0,1
171,860,13.0,1
171,860,14.0,1
171,860,16.0,3
171,860,17.0,1
171,860,19.0,1
171,860,21.0,1
171,860,23.0,1
171,864,12.0,1
171,867,10.0,1
171,867,21.0,1
171,869,2.0,1
171,869,14.0,1
171,869,19.0,1
171,869,20.0,1
171,879,14.0,1
171,882,14.0,2
183,171,15.0,2
183,183,11.0,5
183,183,12.0,4
183,183,14.0,1
183,183,15.0,2
183,183,16.0,4
183,183,17.0,5
183,183,18.0,2
183,183,19.0,4
183,189,12.0,1
183,189,16.0,1
183,225,10.0,1
183,225,11.0,1
183,225,13.0,1
183,225,15.0,1
183,246,1.0,1
183,246,19.0,1
183,246,21.0,1
183,246,22.0,1
183,246,23.0,1
183,247,12.0,1
183,247,13.0,1
183,247,15.0,1
183,248,9.0,2
183,248,12.0,1
183,248,15.0,2
183,249,12.0,1
183,249,13.0,1
183,250,12.0,1
183,250,14.0,2
183,250,16.0,1
183,251,16.0,1
183,253,11.0,1
183,254,6.0,1
183,254,14.0,1
