,build,bikes,desire
0,0,0,8.415664735642803
1,0,0,5.5785256479040495
2,0,0,4.066583115624303
3,0,0,2.86555666629051
4,0,0,3.308164191342561
5,0,0,0.8741430484434355
6,1,18,17.816546164824253
7,0,0,2.503055359245914
8,0,0,6.324114167031112
9,0,0,1.645159316411015
10,0,0,4.965300772086972
11,0,0,0.7145419363522669
12,0,0,8.091355934438376
13,0,0,3.1287329939636117
14,0,0,3.7421019966825355
15,0,0,1.2739648816979559
16,0,0,2.6215708095952444
17,0,0,0.666875495325742
18,0,0,0.5594947135351189
19,0,0,1.1253491355786212
20,0,0,2.8360315416126096
21,1,30,48.49345603671369
22,0,0,4.805699073407944
23,0,0,7.220788377886812
24,0,0,0.44790032281701997
25,0,0,33.63454866719506
26,0,0,3.7636575340515814
27,0,0,1.9326770373163074
28,0,0,15.67815246683411
29,0,0,1.5203894376425886
30,0,0,6.986707347801856
31,0,0,4.493970478720192
32,0,0,1.1908930808612221
33,0,0,3.50789584795805
34,0,0,0.5325956656610416
35,0,0,3.222216007614233
36,0,0,4.591390205794017
37,0,0,4.819162547313359
38,0,0,6.56199851983134
39,0,0,2.8838009584282736
40,0,0,1.7740087305741798
41,0,0,11.08079304585557
42,0,0,4.540066086240413
43,0,0,1.855667035789073
44,0,0,1.6767702753082645
45,0,0,0.6846128665114375
46,1,30,55.23013574324399
47,0,0,7.293578008093896
48,0,0,1.5609435841828831
49,0,0,4.822890200924959
50,0,0,3.3690426249015584
51,0,0,0.5119467622907581
52,0,0,6.110031780537264
53,0,0,1.236952770596196
54,0,0,10.222719871976665
55,0,0,4.509116347974791
56,0,0,0.6221743625057587
57,0,0,4.283214400657294
58,0,0,1.2229193227083952
59,0,0,5.249191722058317
60,0,0,2.599263164765252
61,0,0,6.8637700443221075
62,0,0,1.5979036867024947
63,0,0,13.315141000792245
64,0,0,14.431711755444203
65,0,0,26.234354210646543
66,0,0,1.76738283541752
67,0,0,6.047647901180606
68,0,0,1.5884002912501924
69,0,0,3.9512645706081084
70,0,0,2.608027943488383
71,0,0,20.282206150731973
72,0,0,4.157603969404535
73,0,0,2.3453540510628894
74,0,0,0.7221638147791688
75,1,16,15.040903895469947
76,0,0,6.190548155601366
77,0,0,3.7938329167830522
78,0,0,3.874186394698726
79,0,0,4.428388937073879
80,0,0,3.793541954929056
81,0,0,1.8769534551886626
82,0,0,0.3279189396160959
83,1,30,33.68898099869402
84,0,0,5.7545059769794005
85,0,0,2.0751057658118643
86,0,0,9.762336960988264
87,0,0,19.466144717907202
88,1,14,13.381087927917443
89,0,0,3.576526707770297
90,0,0,10.647037627767656
91,0,0,5.504911852328606
92,0,0,3.21925769230824
93,0,0,2.3837801326710495
94,0,0,1.6064759730463436
95,0,0,10.518096860609393
96,0,0,1.347778812368196
97,0,0,3.431498087875178
98,0,0,0.6540218597484349
99,0,0,3.964571537795631
100,0,0,8.128462208382796
101,0,0,7.521794283013834
102,0,0,7.321311911737836
103,0,0,2.215609992463892
104,0,0,1.7681387227988261
105,0,0,2.6305649788466208
106,0,0,2.438182975699345
107,0,0,1.1303339951979363
108,0,0,0.5877734129347398
109,0,0,4.534147215263478
110,0,0,15.669940411837947
111,0,0,3.649401507387546
112,0,0,5.158230812025082
113,0,0,4.286716751618258
114,0,0,0.5199522780174711
115,0,0,2.246802578549996
116,0,0,11.534797477620408
117,0,0,7.028337425836797
118,1,30,67.2792870805822
119,0,0,1.7832264140114786
120,0,0,4.217803712789796
121,0,0,1.4200816855101333
122,0,0,0.5785461722400336
123,0,0,9.528775989501424
124,0,0,3.269494285536209
125,0,0,13.302893936717265
126,0,0,0.46498252149478275
127,0,0,3.293470790048385
128,0,0,3.5654412109053837
129,0,0,1.55301596307393
130,0,0,0.8479187480717092
131,0,0,1.3161920033487586
132,0,0,2.38899945724721
133,0,0,2.888676119300921
134,0,0,3.066600531376336
135,0,0,6.9646771605576125
136,0,0,4.930254338883455
137,1,26,25.53309242375774
138,0,0,0.5194170293628599
139,0,0,4.34685084200983
140,0,0,4.801551975145014
141,0,0,2.4828785393480866
142,0,0,4.183925911964393
143,0,0,1.1646153137079163
144,0,0,8.948132186711259
145,1,21,20.60562191833611
146,0,0,0.6006272042793184
147,0,0,4.9908399213033885
148,0,0,1.7796243432411303
149,0,0,0.6998509040513379
150,1,1,0.4931827634771188
151,0,0,3.5688297208646174
152,0,0,11.443632877329232
153,0,0,1.512564686770229
154,0,0,1.126320685257992
155,0,0,1.54468496291908
156,1,15,14.73925320686705
157,0,0,11.88262464196745
158,0,0,8.853857305082691
159,0,0,12.689157235711743
160,0,0,2.9458574382931277
161,0,0,1.882810210338619
162,0,0,3.7038299969241306
163,0,0,3.6989770917020417
164,0,0,0.5414854051701272
165,0,0,11.692130341245715
166,0,0,2.1063951196691715
167,0,0,3.004100592465269
168,0,0,3.411443333327562
169,0,0,4.192009510327696
170,0,0,1.655443092342398
171,0,0,2.4044397019134616
172,0,0,13.861505541607306
173,0,0,2.8224173847372342
174,0,0,4.11457166003696
175,0,0,3.4460552578060097
176,0,0,42.60290006255216
177,1,13,12.875927476524213
178,0,0,3.421719308782857
179,0,0,4.939380120928059
180,0,0,1.3837479935150316
181,0,0,2.725762726842341
182,1,22,21.875010659746756
183,0,0,6.318771394936499
184,0,0,1.9869040172140302
185,0,0,1.3802243909589516
186,0,0,4.1068452320608575
187,0,0,0.7935125007970466
188,0,0,2.156979115048688
189,0,0,5.4658037424393235
190,0,0,0.9644586747567783
191,0,0,2.372342805393788
192,0,0,2.703700028608229
